participant_id,response_time_bar_geo,response_time_bar_icon,response_time_bar_color,response_time_pie_geo,response_time_pie_icon,response_time_pie_color
5cabf58293e29a0016018c30,2430.15,1811.4,1648.2,,,
612cdfbb6f79aacd20c2b2c6,2161.7,2354.45,2124.85,,,
61015f63f9a351d3171a0f98,2536.7,2789.6,2657.1,,,
5e7b49fde74e0c14076f273b,,,,1181.4,1522.65,1745.95
60609771c29892dbccbe3c2b,,,,2774.35,3217.7894736842104,2934.7
608ac4aaa0da08ba566333bd,2269.95,2269.9,2221.6,,,
605da94ba47f45380a1c7d57,,,,1928.15,2324.55,2530.1052631578946
60e2ebb6ad1d5ee0e515a7c5,,,,2926.65,3175.0,3164.4210526315787
5e569011c0486f03a51801b5,,,,1593.9,2172.25,3021.3684210526317
63e616d50a3803646a091c0e,1491.6,1731.7,1585.2,,,
613a972033d79df11a6570de,2145.9,2970.4736842105262,2253.35,,,
5c7ed8dfe82bf100010fb514,3320.0,2985.777777777778,3120.05,,,
601bde43332e2d5ff932d64a,,,,2540.7,2233.05,2682.9
5f9eb8c1c1dc8505f5f1bcd4,,,,2637.55,2707.4,2649.85
5c637726938ac700011f45cf,,,,2541.05,2354.95,2337.75
6047b38939f7610352261d47,,,,2974.8947368421054,3010.6,3133.0
6171b1bc917dfe828a3130dd,,,,2663.0,3078.05,2249.15
60394fe628b8f044fa78fd2f,,,,851.6,645.15,349.05
6030119a4403b3e1f92a756a,,,,2170.35,2701.3,3255.15
60ee43925fe84147c9651df4,,,,2019.9,2341.95,2761.2
600f0f9c3bfcdc077c924e51,,,,2236.4,2346.75,2739.6666666666665
5d5c62433f15a200195a6c9f,,,,2446.9473684210525,2397.15,3212.8947368421054
60c048ca962103e0da201a34,,,,2354.5789473684213,2503.1,2332.75
61254b2fc8890c3eae109fd0,661.9,1217.7894736842106,542.7,,,
60411c26d1d9a003c6ea4809,,,,72.05,988.55,933.9
6078aca8d8e492e23e2f4755,2246.35,2522.8888888888887,2060.2,,,
5f6e5f1a89a12b394d694868,,,,2269.3,2483.5,2696.4210526315787
616891e25a026e1f7262116c,2701.15,2349.4210526315787,2178.8,,,
607333f06524baf7ddfaae2e,1482.4,2223.5789473684213,2169.95,,,
6067f370472020b9dc5cf71b,,,,2818.85,3282.05,3035.4
60230fc6c505eb163dddda74,,,,2117.75,2791.7368421052633,2916.5
613aa1e3a3164481c515647e,,,,1422.05,1670.15,2265.5
5c5b31c415f6c30001de2df5,,,,1948.05,2119.2,2504.7368421052633
5fca888982a09a6a47620777,,,,2400.6,3026.6315789473683,3184.6
6156630e090d35740b0294f9,,,,2361.55,2532.55,2742.157894736842
5c5b1174265d6b000105a286,,,,2683.85,3046.7,2948.85
5f773f5c429e260d39fa39e8,2285.0,2938.5,2304.05,,,
60ba46740472bd36868efcb0,,,,3077.9,3700.75,3202.5
6065c673e4123136c775000f,2816.9473684210525,2283.4210526315787,3333.9,,,
61260e2741183100f61d0382,2222.6,2262.75,2046.2631578947369,,,
5f4539491d5a4f0ce250990a,,,,2999.95,2588.45,3249.7894736842104
616c3cbc9f45e7120b08bad6,2451.15,3062.0526315789475,3137.3,,,
5da5fdef9a9dc5001484350b,,,,2877.45,2187.6,3036.95
5cb749fda6fe0700189768a5,,,,2868.8,2810.315789473684,3284.1052631578946
5fc44d83862e3e79b02e0438,2208.6,2998.15,2170.4,,,
60bbc368a316ee5421a1153b,,,,3916.0,3178.157894736842,3195.7368421052633
5b82d4fda284bc000193094c,,,,2431.05,3100.65,2337.4
5f89e17a57925103ac8601df,,,,2643.9375,2337.9,2661.3333333333335
610af845ba0a579e3de8dc9e,,,,2907.4,3025.1,2834.05
63cffdbf780f8b199748645b,2254.2,3115.1052631578946,2405.2,,,
