"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2436.3246221729,2298.21898710549,2554.2625703126
"2","iconic",2640.34823152258,2512.30925350735,2743.94037650053
"3","unicolor",2632.146854083,2496.99854088291,2734.18064738481
