"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",3.7910447761194,3.42686567164179,4.16119402985075
"2","iconic",4.91641791044776,4.53432835820896,5.23283582089552
"3","unicolor",4.50746268656716,4.14029850746269,4.86865671641791
