"","technique","mean_time","lowerBound_CI","upperBound_CI","corrected_CI","lowerBound_CI_corr","upperBound_CI_corr"
"1","geo-icon",-1.12537313432836,-1.55265194244227,-0.677611940298507,0.983333333333333,-1.64776119402985,-0.570149253731343
"2","geo-uni",-0.716417910447761,-1.27164179104478,-0.214925373134328,0.983333333333333,-1.38208955223881,-0.101492537313433
"3","uni-icon",-0.408955223880597,-0.926445136980003,0.188059701492537,0.983333333333333,-1.03283582089552,0.328148828146378
