"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",4.95180722891566,4.56626506024096,5.26506024096386
"2","iconic",4.53012048192771,4.13098843987584,4.86746987951807
"3","unicolor",4.30120481927711,3.80722891566265,4.72289156626506
