"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2335.81769891901,2182.77079494537,2449.06911588639
"2","iconic",2484.27328991671,2348.43711255132,2592.12154713408
"3","unicolor",2254.31961722488,2138.80729920527,2356.66833256026
