"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2538.58424324801,2408.65619350173,2664.07160059695
"2","iconic",2749.84601844161,2623.78483939223,2866.79222319264
"3","unicolor",2724.53173238273,2608.45136904063,2824.92546203425
