"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2415.06526430455,2305.57839854552,2528.47742059358
"2","iconic",2534.34867704392,2419.81464938014,2653.86618578133
"3","unicolor",2279.41151932118,2178.37462458824,2390.80712438867
