"","technique","mean_time","lowerBound_CI","upperBound_CI","corrected_CI","lowerBound_CI_corr","upperBound_CI_corr"
"1","geo-icon",-1.33777777777778,-1.85333333333333,-0.874187953162853,0.983333333333333,-1.97333333333333,-0.767045792918531
"2","geo-uni",-0.808888888888889,-1.49777777777778,-0.142222222222222,0.983333333333333,-1.63111111111111,0.0222222222222223
"3","uni-icon",-0.528888888888889,-1.08,0.111111111111111,0.983333333333333,-1.19555555555556,0.254059570549781
