"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",4.32682926829268,3.82439024390244,4.78048780487805
"2","iconic",5.00975609756098,4.50650816151056,5.41463414634146
"3","unicolor",3.24390243902439,2.73658536585366,3.78536585365854
