"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2415.06526430455,2304.77023567217,2526.7776784459
"2","iconic",2534.34867704392,2416.40785322702,2650.8801772938
"3","unicolor",2279.41151932118,2177.98298486383,2393.24167113175
