"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2538.58424324801,2407.74467492336,2662.62468778041
"2","iconic",2749.84601844161,2624.49916904783,2868.97614987044
"3","unicolor",2724.53173238273,2606.5597279899,2822.97819063768
