Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640cf7e45b79c246aebf83b6,f23cb275-59e5-46c0-befe-9d30e83d2e64,APPROVED,2023-03-11T21:51:32.091000Z,2023-03-11T21:59:12.631000Z,2023-03-11T21:59:13.139000,2023-03-11T21:59:13.069485Z,461,C18N4HK9,396,"English, Italian",22,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
640cf7e61205b97ffe756352,2f4d03c0-925f-43a1-84c8-08536a6edc09,APPROVED,2023-03-11T21:51:38.621000Z,2023-03-11T22:00:08.099000Z,2023-03-11T22:00:09.302000,2023-03-11T22:00:09.227100Z,510,C18N4HK9,444,"Catalan, English, Spanish",24,Female,White,Spain,Spain,Spain,Spanish,No,Part-Time
640cf9c23a420c20e2721feb,a9616b22-18cb-4fcc-ab66-f403c21e3d2e,APPROVED,2023-03-11T21:59:39.177000Z,2023-03-11T22:12:14.202000Z,2023-03-11T22:12:14.676000,2023-03-11T22:12:14.618921Z,756,C18N4HK9,2280,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
640cf9c25819687c284be5ed,54fb7b20-1ab5-42b0-9fb5-245163ed5f16,APPROVED,2023-03-11T21:59:30.443000Z,2023-03-11T22:13:32.614000Z,2023-03-11T22:13:33.073000,2023-03-11T22:13:33.013044Z,843,C18N4HK9,186,"English, German, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
640cf9c75d7a340e338c669e,9e05f056-4a19-4453-8a30-e13d26d4de05,APPROVED,2023-03-11T22:00:07.268000Z,2023-03-11T22:13:39.205000Z,2023-03-11T22:13:39.718000,2023-03-11T22:13:39.652641Z,812,C18N4HK9,81,"Dutch, English",25,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Full-Time
640cf9c86f080609cf92d6f7,af23210a-a011-4764-b386-97d8c7778b97,APPROVED,2023-03-11T21:59:36.621000Z,2023-03-11T22:08:10.965000Z,2023-03-11T22:08:12.217000,2023-03-11T22:08:12.154880Z,515,C18N4HK9,285,"Hungarian, English",23,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
640cf9c8f51cbd68cee54666,52ae6168-3aba-4dcf-8633-d3098806e6f3,APPROVED,2023-03-11T22:04:42.664000Z,2023-03-11T22:12:34.317000Z,2023-03-11T22:12:34.787000,2023-03-11T22:12:34.722502Z,472,C18N4HK9,201,"English, Spanish",24,Male,White,Spain,Spain,Spain,Spanish,Yes,Other
640cf9ce2dfa55558fd5a1d7,7285dfe1-9d15-4d01-a70e-2caab5b632f8,APPROVED,2023-03-11T21:59:42.275000Z,2023-03-11T22:07:52.377000Z,2023-03-11T22:07:53.844000,2023-03-11T22:07:53.784829Z,491,C18N4HK9,52,"Spanish, English, Portuguese",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
640cf9cf04c2d41537ccdd6a,8d4838b4-4631-418f-8969-bea67e51d9b1,APPROVED,2023-03-11T21:59:43.072000Z,2023-03-11T22:16:02.627000Z,2023-03-11T22:16:04.136000,2023-03-11T22:16:04.074732Z,980,C18N4HK9,126,"English, Polish",22,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
640cf9d28f1b44a54f43de93,ef2d5710-f770-42b1-8f4c-1d1514859429,APPROVED,2023-03-11T21:59:46.735000Z,2023-03-11T22:04:23.879000Z,2023-03-11T22:04:24.500000,2023-03-11T22:04:24.436683Z,278,C18N4HK9,225,"English, German, Polish",20,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
640cf9d2cab6267892722002,65782cc7-ea7a-4a4d-a07e-e719fa4cfbe7,APPROVED,2023-03-11T21:59:46.392000Z,2023-03-11T22:09:55.695000Z,2023-03-11T22:09:56.096000,2023-03-11T22:09:56.034677Z,610,C18N4HK9,135,"English, Portuguese",20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
640cf9d5a9ae40231df5fb03,feb5872f-0555-470c-bb46-0ae2ef8db911,APPROVED,2023-03-11T21:59:49.393000Z,2023-03-11T22:09:47.072000Z,2023-03-11T22:09:47.593000,2023-03-11T22:09:47.524147Z,598,C18N4HK9,29,"Czech, English",20,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Unemployed (and job seeking)
