"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",3.74222222222222,3.27111111111111,4.19694850250849
"2","iconic",5.08,4.65777777777778,5.42222222222222
"3","unicolor",4.55111111111111,4.13333333333333,4.93777777777778
