"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",4.85365853658537,4.24390243902439,5.34146341463415
"2","iconic",4.68292682926829,4.1219512195122,5.1219512195122
"3","unicolor",4.34146341463415,3.60975609756098,4.92682926829268
